date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,close_percent_change,company
2023-02-27,223.0,224.235,221.17,221.6,220.3422,1254322,0.0,1.0,0.009,ADP
2023-02-27,66.9,67.065,66.53,66.8,66.8,3682620,0.0,1.0,0.6479,AZN
2023-02-27,30.535,31.165,30.35,31.04,31.04,3912061,0.0,1.0,2.1725,BKR
2023-02-27,585.87,589.8,584.26,585.45,581.2509,1832279,0.0,1.0,1.3328,AVGO
2023-02-27,272.26,274.65,269.0,269.2,269.2,822315,0.0,1.0,-0.3037,BIIB
2023-02-27,102.31,103.58,102.085,103.24,103.24,1445318,0.0,1.0,1.1463,BMRN
2023-02-27,2480.39,2528.76,2475.12,2521.08,2521.08,363018,0.0,1.0,2.7972,BKNG
2023-02-27,195.35,195.985,192.66,193.18,193.18,1354110,0.0,1.0,-0.289,CDNS
2023-02-27,379.82,381.15,373.13,375.05,375.05,1011890,0.0,1.0,0.064,CHTR
2023-02-27,69.79,70.12,69.335,69.96,69.96,2068629,0.0,1.0,1.0545,CPRT
2023-02-27,71.47,71.9,70.63,70.89,70.89,2346038,0.0,1.0,0.2262,CSGP
2023-02-27,118.635,123.2403,118.3,120.65,120.65,5501851,0.0,1.0,2.8735,CRWD
2023-02-27,438.89,440.19,434.665,436.53,436.53,271450,0.0,1.0,0.3448,CTAS
2023-02-27,48.95,49.335,48.55,48.73,48.366,14776418,0.0,1.0,0.5157,CSCO
2023-02-27,37.25,37.57,37.12,37.35,37.0654,17514596,0.0,1.0,0.9459,CMCSA
2023-02-27,492.55,492.9999,485.68,487.03,487.03,1501749,0.0,1.0,-0.3234,COST
2023-02-27,31.32,31.785,30.64,30.77,30.77,18854631,0.11,1.0,0.065,CSX
2023-02-27,64.56,64.63,63.325,63.5,63.5,3122034,0.0,1.0,-0.517,CTSH
2023-02-27,77.75,78.8,76.59,77.6,77.6,3210697,0.0,1.0,1.213,DDOG
2023-02-27,110.98,111.68,109.02,110.58,110.58,1528694,0.0,1.0,0.4451,DXCM
2023-02-27,143.16,145.27,141.83,144.36,141.4651,2281044,0.0,1.0,1.3906,FANG
2023-02-27,145.23,145.48,142.63,143.825,143.825,3384566,0.0,1.0,-0.1215,DLTR
2023-02-27,110.43,111.18,110.26,111.09,110.9001,2300081,0.0,1.0,1.2025,EA
2023-02-27,45.32,45.85,45.08,45.8,45.535,5187685,0.0,1.0,1.6197,EBAY
2023-02-27,205.47,213.28,203.3593,210.78,210.78,4119834,0.0,1.0,5.9409,ENPH
2023-02-27,41.55,42.22,41.335,41.43,41.43,5390107,0.0,1.0,0.2662,EXC
2023-02-27,51.59,51.98,51.405,51.57,51.57,1956960,0.0,1.0,0.644,FAST
2023-02-27,65.28,65.865,64.72,64.89,64.89,1161730,0.0,1.0,0.3092,GFS
2023-02-27,77.75,78.8,76.59,77.6,77.6,3210697,0.0,1.0,1.213,DDOG
2023-02-27,110.98,111.68,109.02,110.58,110.58,1528694,0.0,1.0,0.4451,DXCM
2023-02-27,143.16,145.27,141.83,144.36,141.4651,2281044,0.0,1.0,1.3906,FANG
2023-02-27,145.23,145.48,142.63,143.825,143.825,3384566,0.0,1.0,-0.1215,DLTR
2023-02-27,110.43,111.18,110.26,111.09,110.9001,2300081,0.0,1.0,1.2025,EA
2023-02-27,45.32,45.85,45.08,45.8,45.535,5187685,0.0,1.0,1.6197,EBAY
2023-02-27,205.47,213.28,203.3593,210.78,210.78,4119834,0.0,1.0,5.9409,ENPH
2023-02-27,41.55,42.22,41.335,41.43,41.43,5390107,0.0,1.0,0.2662,EXC
2023-02-27,51.59,51.98,51.405,51.57,51.57,1956960,0.0,1.0,0.644,FAST
2023-02-27,65.28,65.865,64.72,64.89,64.89,1161730,0.0,1.0,0.3092,GFS
2023-02-27,171.875,173.12,169.06,169.54,169.54,19277002,0.0,1.0,-0.4989,META
2023-02-27,116.52,116.52,114.38,114.71,114.71,3382213,0.0,1.0,0.2272,FISV
2023-02-27,59.68,60.1403,59.382,59.62,59.62,3597166,0.0,1.0,1.2912,FTNT
2023-02-27,81.16,81.31,80.58,80.89,80.1366,4930041,0.0,1.0,0.2851,GILD
2023-02-27,90.09,90.4499,89.61,90.1,90.1,22724262,0.0,1.0,0.8394,GOOG
2023-02-27,89.87,90.16,89.335,89.87,89.87,27502302,0.0,1.0,0.8302,GOOGL
2023-02-27,194.42,195.0,191.74,192.45,192.45,3363256,0.0,1.0,0.2135,HON
2023-02-27,198.95,199.0,196.23,196.9,196.9,1307542,0.0,1.0,0.1577,ILMN
2023-02-27,25.55,25.58,24.88,24.9,24.9,37656956,0.0,1.0,-0.9547,INTC
2023-02-27,421.38,422.55,412.0382,412.62,411.9009,2166398,0.0,1.0,-1.7127,INTU
2023-02-27,233.96,233.96,231.0,231.74,231.74,1421595,0.0,1.0,0.2986,ISRG
2023-02-27,44.87,44.9473,44.23,44.31,44.2438,7026641,0.0,1.0,1.049,MRVL
